CaseID,3. Do you currently live on a farm?,"15a. Increasing public access to natural areas for recreation (hiking, biking, a  swimming, fishing, hunting, etc.)",15b. Beautification of the landscape,15c. Increasing crop production,15d. Increasing livestock production,15e. Improving flood control,15f. Protecting drinking water quality,15g. Protecting water quality for swimming/boating,15h. Protecting water quality for aquatic life,15i. Restoring native prairie,15j. Restoring wetlands,15k.Reducing greenhouse gases (carbon sequestration),15l. Increasing rural job opportunities,15m. Increasing tourism opportunities,15n. Improving game wildlife habitat,15o. Improving non-game wildlife habitat,15p. Other
10434,No,Slight Priority,Slight Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,High Priority,High Priority,Slight Priority,Slight Priority,Slight Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,8
10450,No,High Priority,Moderate Priority,High Priority,High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,8
10457,No,No Priority,No Priority,No Priority,No Priority,Very High Priority,Very High Priority,No Priority,9,9,9,9,9,9,9,9,9
10466,No,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Slight Priority,High Priority,High Priority,Very High Priority,Moderate Priority,High Priority,High Priority,Very High Priority,Very High Priority,8
10502,No,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,No Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,8
10506,No,Moderate Priority,Moderate Priority,High Priority,High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,High Priority,High Priority,Very High Priority,Moderate Priority,Moderate Priority,Very High Priority,8
10508,No,Slight Priority,Slight Priority,9,9,Moderate Priority,High Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,High Priority,Very High Priority,Very High Priority,8
10520,No,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Moderate Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,8
10596,No,Moderate Priority,No Priority,No Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,No Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,8
10604,No,High Priority,High Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
10618,Yes,No Priority,Moderate Priority,High Priority,High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,Moderate Priority,High Priority,Slight Priority,Slight Priority,Slight Priority,8
10628,No,High Priority,High Priority,Slight Priority,Slight Priority,Moderate Priority,Very High Priority,High Priority,High Priority,Slight Priority,Moderate Priority,Very High Priority,Moderate Priority,Slight Priority,Moderate Priority,Moderate Priority,8
10632,No,No Priority,No Priority,Moderate Priority,No Priority,No Priority,No Priority,No Priority,No Priority,No Priority,Slight Priority,Slight Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
10679,No,High Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,8
10693,No,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,8
10734,Yes,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,8
10741,No,Moderate Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Very High Priority,Moderate Priority,Very High Priority,High Priority,High Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,8
10780,No,High Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,High Priority,Moderate Priority,8
10782,No,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Slight Priority,Slight Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Slight Priority,8
10791,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
10808,No,High Priority,High Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,High Priority,High Priority,Very High Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,High Priority,8
10811,No,Moderate Priority,High Priority,No Priority,Slight Priority,High Priority,Very High Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,High Priority,Slight Priority,Slight Priority,8
10816,No,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,High Priority,Very High Priority,Moderate Priority,High Priority,High Priority,High Priority,Moderate Priority,8
10831,No,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
10836,No,Moderate Priority,No Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,No Priority,8
10850,No,Moderate Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Slight Priority,Very High Priority,8
10869,No,Slight Priority,Slight Priority,Very High Priority,Moderate Priority,High Priority,High Priority,High Priority,Very High Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,8
10907,No,Moderate Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,8
10916,No,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,High Priority,High Priority,8
10920,No,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
10953,No,Moderate Priority,Slight Priority,Slight Priority,Moderate Priority,High Priority,Very High Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,Slight Priority,Very High Priority,Moderate Priority,High Priority,High Priority,8
10960,No,Moderate Priority,Slight Priority,Slight Priority,Slight Priority,High Priority,Very High Priority,High Priority,Moderate Priority,High Priority,High Priority,Very High Priority,Very High Priority,Moderate Priority,High Priority,High Priority,8
10964,No,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,8
10974,No,Moderate Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Very High Priority,9,Moderate Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,8
10998,No,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,Slight Priority,Moderate Priority,High Priority,Moderate Priority,Slight Priority,8
11008,No,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,8
11010,No,Slight Priority,Slight Priority,No Priority,No Priority,No Priority,No Priority,Moderate Priority,Slight Priority,Slight Priority,Moderate Priority,High Priority,No Priority,No Priority,No Priority,No Priority,8
11039,No,High Priority,High Priority,Very High Priority,No Priority,High Priority,Very High Priority,Moderate Priority,High Priority,High Priority,High Priority,Moderate Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority
11048,No,Moderate Priority,Moderate Priority,High Priority,High Priority,Very High Priority,Very High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,8
11071,No,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,9,High Priority,Slight Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,8
11106,No,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,8
11147,No,Moderate Priority,Moderate Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,8
11173,No,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,8
11174,No,Moderate Priority,Slight Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Very High Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Slight Priority,8
11192,No,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,High Priority,High Priority,High Priority
20014,No,Moderate Priority,Moderate Priority,High Priority,High Priority,Very High Priority,Very High Priority,Moderate Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,8
20017,No,Moderate Priority,No Priority,No Priority,No Priority,No Priority,High Priority,High Priority,High Priority,High Priority,High Priority,No Priority,Moderate Priority,No Priority,High Priority,High Priority,8
20021,Yes,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,High Priority,Moderate Priority,Moderate Priority,Slight Priority,8
20025,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
20034,No,Very High Priority,Slight Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,High Priority,High Priority,High Priority,Moderate Priority,High Priority,Moderate Priority,High Priority,High Priority,8
20042,No,Slight Priority,Slight Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,Slight Priority,Slight Priority,Slight Priority,Slight Priority,Slight Priority,Moderate Priority,Moderate Priority,8
20053,No,No Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,No Priority,No Priority,Slight Priority,Slight Priority,Slight Priority,8
20105,No,Moderate Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,High Priority,High Priority,8
20106,No,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,8
20127,No,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
20131,No,High Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Very High Priority,8
20137,No,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Very High Priority,High Priority,Moderate Priority,8
20191,No,High Priority,Very High Priority,High Priority,High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,High Priority,High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,8
20228,No,Moderate Priority,Moderate Priority,High Priority,High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,High Priority,High Priority,Very High Priority,High Priority,High Priority,High Priority,High Priority,8
20249,No,Moderate Priority,Slight Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
20259,No,No Priority,Moderate Priority,No Priority,Moderate Priority,High Priority,High Priority,High Priority,Moderate Priority,Slight Priority,Slight Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,No Priority,8
20316,No,High Priority,High Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
20319,No,Moderate Priority,High Priority,High Priority,9,Very High Priority,High Priority,Very High Priority,Very High Priority,High Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,8
20340,Yes,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
20342,No,Moderate Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,High Priority,8
20349,No,Slight Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Slight Priority,No Priority,Very High Priority,Very High Priority,Moderate Priority,Slight Priority,Slight Priority,8
20372,No,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
20380,No,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,8
20396,Yes,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,8
20415,No,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,High Priority,High Priority,Moderate Priority,8
20421,No,High Priority,High Priority,High Priority,Moderate Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,Very High Priority,High Priority,Very High Priority,Moderate Priority,Slight Priority,8
20448,Yes,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,High Priority,High Priority,Very High Priority,Slight Priority,Slight Priority,Moderate Priority,8
20449,No,Slight Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,Slight Priority,Slight Priority,Moderate Priority,Moderate Priority,8
20460,No,Very High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Very High Priority,High Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,8
20471,Yes,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,High Priority,8
20492,No,No Priority,Slight Priority,Moderate Priority,Slight Priority,Moderate Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,8
20514,No,9,Slight Priority,High Priority,Moderate Priority,Slight Priority,Moderate Priority,Slight Priority,Moderate Priority,Slight Priority,Slight Priority,Slight Priority,Moderate Priority,Moderate Priority,Very High Priority,High Priority,8
20517,No,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
20544,No,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,Slight Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,Slight Priority,High Priority,Slight Priority,8
20558,No,Moderate Priority,High Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,8
20613,No,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,8
20715,No,No Priority,Moderate Priority,No Priority,No Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,8
20874,No,Slight Priority,Slight Priority,Slight Priority,Slight Priority,High Priority,Very High Priority,Very High Priority,9,No Priority,No Priority,Slight Priority,High Priority,Slight Priority,Slight Priority,Slight Priority,8
20887,No,Slight Priority,No Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
20903,Yes,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority
20938,No,Moderate Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Slight Priority,Moderate Priority,Moderate Priority,Slight Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Slight Priority,8
20992,Yes,Slight Priority,Slight Priority,High Priority,High Priority,Slight Priority,Slight Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,Slight Priority,Very High Priority,High Priority,Slight Priority,Slight Priority,8
20998,No,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
21004,No,Moderate Priority,High Priority,Very High Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Very High Priority,Slight Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Slight Priority,8
21022,No,High Priority,Very High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,Very High Priority,Very High Priority,High Priority,High Priority,High Priority,8
21029,No,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Slight Priority,Slight Priority,Slight Priority,No Priority,High Priority,High Priority,High Priority,High Priority,Moderate Priority,8
21046,No,Moderate Priority,Slight Priority,9,9,9,Very High Priority,Slight Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Very High Priority,High Priority,Moderate Priority,Moderate Priority,8
21087,No,No Priority,Moderate Priority,Slight Priority,Slight Priority,Very High Priority,Very High Priority,Moderate Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Moderate Priority,Very High Priority,8
21147,No,No Priority,Moderate Priority,No Priority,No Priority,High Priority,Moderate Priority,High Priority,Moderate Priority,No Priority,No Priority,No Priority,Moderate Priority,Moderate Priority,No Priority,No Priority,8
21198,No,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,9
10012,No,Moderate Priority,Slight Priority,High Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,Very High Priority,High Priority,Moderate Priority,High Priority,High Priority,8
10022,No,No Priority,Moderate Priority,No Priority,No Priority,No Priority,Very High Priority,Moderate Priority,Very High Priority,No Priority,Moderate Priority,Moderate Priority,No Priority,Moderate Priority,No Priority,No Priority,8
10023,No,Moderate Priority,High Priority,Moderate Priority,Slight Priority,High Priority,Very High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,High Priority,High Priority,8
10029,No,Very High Priority,High Priority,High Priority,High Priority,Very High Priority,Very High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,High Priority,High Priority,High Priority,8
10034,No,Slight Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,Moderate Priority,High Priority,Moderate Priority,No Priority,No Priority,Slight Priority,High Priority,Moderate Priority,High Priority,High Priority,8
10039,No,High Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,High Priority,High Priority,High Priority,Slight Priority,Slight Priority,No Priority,High Priority,High Priority,High Priority,High Priority,8
10066,No,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,Very High Priority,High Priority,High Priority,Slight Priority,Slight Priority,Slight Priority,Moderate Priority,High Priority,Moderate Priority,Moderate Priority,8
10068,No,Very High Priority,High Priority,Very High Priority,High Priority,High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,Moderate Priority,Very High Priority,Very High Priority,Very High Priority,Very High Priority,8
10070,No,Very High Priority,High Priority,High Priority,Moderate Priority,Very High Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,8
10075,No,Very High Priority,Slight Priority,Moderate Priority,Moderate Priority,Very High Priority,Very High Priority,High Priority,Very High Priority,Moderate Priority,Moderate Priority,Slight Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,8
10092,No,High Priority,Moderate Priority,Moderate Priority,High Priority,Very High Priority,Very High Priority,Moderate Priority,Very High Priority,High Priority,High Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,High Priority,8
10096,Yes,No Priority,No Priority,High Priority,High Priority,No Priority,No Priority,No Priority,No Priority,No Priority,No Priority,No Priority,Moderate Priority,No Priority,No Priority,No Priority,8
10101,No,Slight Priority,Slight Priority,Slight Priority,Slight Priority,High Priority,Very High Priority,High Priority,High Priority,Slight Priority,Slight Priority,Slight Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,8
